Date,Age,Life Event,Life Event,
11/24/1971,25,"Waneta saw a psychologist; she said she was worried she might hurt Scottie. Her psychiatrist suggested Waneta might want to admit herself into a hospital but she refused and said she wanted medication. Her psychiatrist reluctantly prescribed Waneta Stelazine, to treat anxiety, and Elavil, to treat depression.","Waneta saw a psychologist; she said she was worried she might hurt Scottie. Her psychiatrist suggested Waneta might want to admit herself into a hospital but she refused and said she wanted medication. Her psychiatrist reluctantly prescribed Waneta Stelazine, to treat anxiety, and Elavil, to treat depression.","Waneta saw a psychologist; she said she was worried she might hurt Scottie. Her psychiatrist suggested Waneta might want to admit herself into a hospital but she refused and said she wanted medication. Her psychiatrist reluctantly prescribed Waneta Stelazine, to treat anxiety, and Elavil, to treat depression."
11/25/1971,25,"Waneta called Weisz, the social service agent, to pick up Scottie. She said she wanted to wait a year or two before trying to adopt.","Waneta called Weisz, the social service agent, to pick up Scottie. She said she wanted to wait a year or two before trying to adopt.","Waneta called Weisz, the social service agent, to pick up Scottie. She said she wanted to wait a year or two before trying to adopt."
Spring 1972,25,Waneta threatened to kill herself on multiple occasions.,Waneta threatened to kill herself on multiple occasions.,Waneta threatened to kill herself on multiple occasions.
February 1973,26,Waneta told her psychiatrist that she had put her name on a waiting list with a private agency to adopt two children.,Waneta told her psychiatrist that she had put her name on a waiting list with a private agency to adopt two children.,Waneta told her psychiatrist that she had put her name on a waiting list with a private agency to adopt two children.
1973,28,Waneta had a hysterectomy.,Waneta had a hysterectomy.,Waneta had a hysterectomy.
06/14/1974,28,Waneta was raped by a neighbor.,Waneta was raped by a neighbor.,Waneta was raped by a neighbor.
1974,28,Waneta told a man she wanted to start a relationship with him but he refused.,Waneta told a man she wanted to start a relationship with him but he refused.,Waneta told a man she wanted to start a relationship with him but he refused.
09/20/1976,30,"Tim and Waneta adopted a two-month-old boy, Jay.","Tim and Waneta adopted a two-month-old boy, Jay.","Tim and Waneta adopted a two-month-old boy, Jay."
March 1987,40,"Waneta went to see a psychiatrist again, she said Jay was getting on her nerves; she was supposed to return in two weeks for a visit but never did.","Waneta went to see a psychiatrist again, she said Jay was getting on her nerves; she was supposed to return in two weeks for a visit but never did.","Waneta went to see a psychiatrist again, she said Jay was getting on her nerves; she was supposed to return in two weeks for a visit but never did."
09/01/1989,42,"Waneta’s mother, Dorothy, died in a car crash.","Waneta’s mother, Dorothy, died in a car crash.","Waneta’s mother, Dorothy, died in a car crash."
March 1993,46,Waneta said she had suffered a heart attack.,Waneta said she had suffered a heart attack.,Waneta said she had suffered a heart attack.
03/23/1994,47,Waneta was questioned and confessed to the murder of the five children; she was arrested that day.,Waneta was questioned and confessed to the murder of the five children; she was arrested that day.,Waneta was questioned and confessed to the murder of the five children; she was arrested that day.
04/15/1884,47,Waneta walked out of jail on bail.,Waneta walked out of jail on bail.,Waneta walked out of jail on bail.
March 1994,48,Waneta’s trial began by selecting jurors.,Waneta’s trial began by selecting jurors.,Waneta’s trial began by selecting jurors.
04/17/1995,48,Waneta took the stand to defend her case.,Waneta took the stand to defend her case.,Waneta took the stand to defend her case.
04/20/1995,48,The jurors deliberated about the case after four weeks of trial.,The jurors deliberated about the case after four weeks of trial.,The jurors deliberated about the case after four weeks of trial.
04/22/1995,48,The jury convicted Waneta of five counts of reckless murder.,The jury convicted Waneta of five counts of reckless murder.,The jury convicted Waneta of five counts of reckless murder.
09/11/1995,49,"Waneta was sentenced to five minimum sentences of fifteen to life, but she would have to serve one sentence after another.","Waneta was sentenced to five minimum sentences of fifteen to life, but she would have to serve one sentence after another.","Waneta was sentenced to five minimum sentences of fifteen to life, but she would have to serve one sentence after another."
08/13/1998,51,Waneta died in prison of pancreatic cancer.,Waneta died in prison of pancreatic cancer.,Waneta died in prison of pancreatic cancer.
